Tank Name,Tank DPM,Dmg,Reload,Pen,Velo,Acc,Aim,Dispresion,DeP/Elev,Speed,Traverse,Power,P/W,Weight,Health,VR,Stat17,Stat18,Stat19,Stat20,Stat21
Yong Bing,,,IX,Yong Bing,,2112,440,12.50s,245,950,0.40,2.70s,0.10 / 0.18 / 0.18,-8° / +20°,33 / 12,20°/s,600,11.83,50.7t,1900,380
Jagdpanther II,,,VIII,JPanther II,,2513,490,11.70s,246,920,0.35,2.30s,0.08 / 0.18 / 0.18,-6.5° / +15°,55 / 12,38°/s,700,13.25,52.8t,1150,360
AE Phase I,,,IX,AE Phase I,,2182,400,11.00s,258,1067,0.38,2.50s,0.08 / 0.14 / 0.14,-10° / +15°,35 / 12,30°/s,900,16.16,55.7t,1800,390
Chi-Ni,,,VII,Chi-Ri,,1950,130,10.00s,155,821,0.35,1.70s,0.12 / 0.18 / 0.18,-10° / +20°,45 / 18,47°/s,650,15.48,42t,1350,370
DBV-152,,,X,DBV-152,,2341,800,20.50s,281,1160,0.32,1.60s,0.20 / 0.30 / 0.30,-7° / +15°,52 / 14,28°/s,700,20.77,33.7t,1750,370
IS-6 FL,,,VIII,IS-6,,2000,390,11.70s,196,790,0.44,2.80s,0.12 / 0.23 / 0.23,-6° / +20°,35 / 14,26°/s,700,13.67,51.2t,1550,350
WZ-120G FT,,,VIII,WZ-120G FT,,2824,560,11.90s,271,930,0.38,2.80s,0.16 / 0.22 / 0.22,-6° / +15°,47 / 20,38°/s,520,14.44,36t,1700,390
Konštrukta T-34/100,,,VIII,T-44-100,,2308,250,6.50s,210,880,0.35,2.00s,0.08 / 0.10 / 0.10,-7° / +23°,52 / 23,51°/s,760,22.87,33.2t,1350,380
Object 244,,,VI,Obj. 244,,1895,180,5.70s,144,950,0.35,2.30s,0.16 / 0.18 / 0.18,-5° / +15°,42 / 14,28°/s,520,11.89,43.7t,990,340
AMX M4 mle. 51 FL,,,X,AMX M4 54,,2400,560,14.00s,250,960,0.36,2.50s,0.14 / 0.16 / 0.16,-8° / +15°,35 / 15,28°/s,1200,15.06,79.7t,2200,390
Ikv 72,,,III,Ikv 72,,1375,110,4.80s,97,655,0.39,2.10s,0.16 / 0.26 / 0.26,-12° / +20°,57 / 20,40°/s,145,18.53,7.8t,265,300
Kranvagn,,,X,Kranvagn,,2597,440,25.00s,265,1150,0.40,2.50s,0.18 / 0.20 / 0.20,-12° / +10°,45 / 12,30°/s,810,18.20,44.5t,2000,390
T-150,,,V,T1,,1917,115,3.60s,128,792,0.43,2.00s,0.12 / 0.22 / 0.22,-10° / +30°,35 / 14,36°/s,900,15.42,58.4t,910,350
AMX 30 B,,,X,AMX 30 B,,3000,390,7.80s,248,1100,0.36,2.00s,0.04 / 0.12 / 0.12,-8° / +20°,65 / 23,48°/s,720,20.17,35.7t,1900,410
AMX 13 75,,,X,AMX 13 105,,2163,390,27.00s,234,1000,0.42,2.30s,0.12 / 0.15 / 0.15,-8° / +12°,68 / 22,40°/s,600,38.22,15.7t,1600,390
CS-44,,,VII,CS-44,,1417,300,12.70s,168,966,0.41,2.50s,0.12 / 0.20 / 0.20,-6° / +15°,57 / 15,36°/s,550,18.46,29.8t,1200,370
Grille,,,X,Grille 15,,2500,750,18.00s,279,1200,0.27,1.50s,0.40 / 0.26 / 0.30,-7° / +15°,60 / 15,28°/s,850,21.41,39.7t,1800,390
Pz.Kpfw. I Ausf. C,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
Concept 1B,,,X,Concept 5,,2359,460,11.70s,260,1230,0.27,1.80s,0.06 / 0.10 / 0.10,-8° / +16°,65 / 32,40°/s,580,25.55,22.7t,1900,400
Object 430 Version II,,,IX,Obj. 430 II,,2783,320,6.90s,246,1015,0.34,2.00s,0.12 / 0.12 / 0.12,-4° / +16°,55 / 20,52°/s,610,16.87,36.2t,1800,400
Type 3 Chi-Nu,,,VIII,Type 63,,1794,320,10.70s,230,1150,0.28,2.00s,0.08 / 0.18 / 0.18,-8° / +5°,40 / 15,34°/s,860,16.63,51.7t,1400,380
40TP Habicha,,,VIII,40TP,,1694,240,8.50s,156,950,0.40,2.70s,0.14 / 0.22 / 0.22,-8° / +15°,50 / 18,40°/s,600,15.03,39.9t,920,360
Pz.Kpfw. 38 (K),No data
T-34-3,,,V,T-34,,2217,85,2.30s,112,990,0.34,2.30s,0.16 / 0.25 / 0.25,-8° / +20°,56 / 20,45°/s,550,19.31,28.5t,650,350
SU-100I,,,VIII,SU-101,,2095,440,12.60s,258,850,0.42,2.50s,0.12 / 0.12 / 0.12,-3° / +18.3°,54 / 18,25°/s,620,17.78,34.9t,1300,360
Kampfpanzer 07 RH,No data
AMX M4 mle. 49 FL,,,X,AMX M4 54,,2400,560,14.00s,250,960,0.36,2.50s,0.14 / 0.16 / 0.16,-8° / +15°,35 / 15,28°/s,1200,15.06,79.7t,2200,390
SMV CC-56,,,VII,SMV CC-56,,1800,320,18.00s,175,903,0.42,2.70s,0.14 / 0.28 / 0.10,-10° / +20°,31 / 10,25°/s,650,13.76,47.2t,1200,350
Rheinmetall Skorpion,,,VIII,Skorpion,,2410,490,12.20s,246,920,0.30,2.10s,0.16 / 0.26 / 0.26,-7° / +14°,60 / 20,30°/s,650,17.13,38t,1150,360
Type 5 Chi-Ri,,,X,Type 5 H,,2246,700,18.70s,257,850,0.40,2.70s,0.14 / 0.16 / 0.16,-10° / +20°,25 / 15,20°/s,1370,9.08,150.8t,2900,400
AMX 65 t,,,X,AMX 65 t,,1953,420,12.90s,225,1067,0.36,2.30s,0.12 / 0.18 / 0.18,-8° / +13°,35 / 15,30°/s,1200,18.55,64.7t,1700,380
P.43 ter,,,VIII,P.43 ter,,1946,240,7.40s,165,758,0.40,2.40s,0.12 / 0.18 / 0.18,-7° / +20°,55 / 20,44°/s,700,19.58,35.8t,1200,380
CS-63,,,VII,CS-63,,2753,390,8.50s,258,1241,0.36,2.30s,0.06 / 0.12 / 0.12,-8° / +20°,55 / 15,48°/s,740,18.25,40.6t,2000,400
ISU-152,,,VIII,ISU-152,,2557,750,17.60s,260,850,0.38,3.10s,0.08 / 0.20 / 0.20,-6° / +18°,43 / 13,30°/s,780,15.95,48.9t,1250,350
VK 20.01 (D),,,VII,VK 30.02 D,,2063,220,6.40s,145,773,0.38,2.30s,0.14 / 0.20 / 0.20,-8° / +20°,60 / 20,60°/s,870,22.06,39.4t,1350,380
AS-XX 40 t,,,XI,AS-XX 40 t,,2834,410,33.00s,263,1380,0.35,2.30s,0.10 / 0.17 / 0.17,-8° / +11°,66 / 24,32°/s,1230,30.98,39.7t,1950,400
Type 98 Ke-Ni,,,IX,Type 68,,2400,400,10.00s,250,1050,0.24,2.20s,0.10 / 0.16 / 0.16,-8° / +20°,35 / 14,30°/s,1000,17.04,58.7t,1950,390
White Dragon,No data
T57 Heavy,,,X,T57 Heavy,,3097,400,25.00s,258,1067,0.35,2.70s,0.18 / 0.22 / 0.22,-8° / +12°,35.4 / 14,30°/s,870,16.07,54.1t,2250,400
Vz. 44-1,,,X,Vz. 44-1,,1587,320,12.10s,206,900,0.44,2.50s,0.14 / 0.22 / 0.22,-8° / +15°,30 / 14,25°/s,680,14.25,47.7t,1500,370
Type 5 Ka-Ri,,,VIII,Ka-Ri,,2256,500,13.30s,252,980,0.34,2.00s,0.08 / 0.16 / 0.16,-7° / +15°,40 / 18,38°/s,750,16.76,44.8t,1250,380
K-91 Version II,,,X,K-91,,3368,320,5.70s,276,1700,0.33,1.70s,0.10 / 0.14 / 0.10,-9° / +20°,55 / 20,50°/s,860,19.24,44.7t,1950,410
E 75 TS,,,IX,E 75,,2025,530,15.70s,246,920,0.39,2.40s,0.11 / 0.21 / 0.21,-8° / +15°,40 / 15,24°/s,1000,10.95,91.3t,2000,400
Vercingétorix,,,IX,Vercingétorix,,2449,400,9.80s,253,1020,0.36,2.30s,0.10 / 0.18 / 0.18,-8° / +15°,45 / 14,40°/s,1000,16.75,59.7t,1750,390
Object 416,,,VIII,Obj. 416,,2400,320,8.00s,216,895,0.35,2.00s,0.12 / 0.12 / 0.12,-4° / +15°,55 / 20,52°/s,440,18.55,23.7t,1450,380
M4-85,,,VIII,M4-85,,1371,160,7.00s,150,800,0.44,3.00s,0.16 / 0.24 / 0.24,-5° / +17°,52 / 18,37°/s,420,13.80,30.4t,630,350
L6/40,,,II,L6/40,,1267,11,3.50s,38,825,0.47,1.60s,0.08 / 0.28 / 0.28,-12° / +20°,42.3 / 15,56°/s,108,16.07,6.7t,340,320
CC-46 Pancernik,,,IX,Pancernik,,1857,650,21.00s,248,900,0.44,3.20s,0.12 / 0.25 / 0.25,-8° / +20°,30 / 12,20°/s,1100,11.03,99.7t,1900,380
Leopard 1,,,IX,Leopard 120,,2839,440,9.30s,284,1400,0.32,1.60s,0.10 / 0.19 / 0.19,-9° / +20°,65 / 23,48°/s,900,21.08,42.7t,1950,410
"VK 28.01 mit 10,5 cm L/28",,,VI,VK 28.01,,1650,110,4.00s,132,790,0.38,1.90s,0.12 / 0.14 / 0.14,-10° / +20°,64 / 22,58°/s,700,26.99,25.9t,780,380
Type 61,,,X,Type 71,,2727,400,8.80s,260,1050,0.22,2.00s,0.10 / 0.14 / 0.14,-7° / +20°,40 / 16,30°/s,1050,17.59,59.7t,2200,400
Schwertwal,,,X,Schwertwal,,2500,700,16.80s,259,800,0.40,3.00s,0.10 / 0.22 / 0.22,-8° / +20°,30 / 12,23°/s,1080,12.04,89.7t,2500,390
Type 59 G,,,IV,Type 95,,2000,110,3.30s,71,453,0.40,2.30s,0.10 / 0.18 / 0.18,-12° / +20°,22 / 10,30°/s,290,10.01,29t,670,340
Vz. 64 Blesk,,,VIII,Blesk,,2231,9,22.00s,163,900,0.42,2.40s,0.10 / 0.14 / 0.14,-10° / +25°,60 / 21,43°/s,420,28.52,14.7t,1200,380
KV-4 Kreslavskiy,,,VIII,KV-4,,1950,390,12.00s,217,975,0.42,3.00s,0.14 / 0.22 / 0.22,-8° / +18°,32 / 11,25°/s,1330,12.53,106.2t,1800,350
XM66F,,,VIII,XM66F,,2526,400,9.50s,232,1067,0.38,2.00s,0.10 / 0.18 / 0.18,-10° / +20°,35 / 15,26°/s,850,15.54,54.7t,1300,380
Charlemagne,,,VIII,Charlemagne,,1581,440,16.70s,220,597,0.44,3.50s,0.08 / 0.15 / 0.15,-10° / +15°,35 / 15,26°/s,750,16.78,44.7t,1500,380
M3A3 Stuart,,,IV,M5 Stuart,,1546,50,7.70s,71,884,0.38,1.70s,0.10 / 0.15 / 0.15,-10° / +20°,64.4 / 20,50°/s,400,26.67,15t,520,360
Black Prince,,,IV,Black Prince,,2000,150,4.50s,171,884,0.34,2.00s,0.10 / 0.14 / 0.14,-8° / +20°,30 / 15,20°/s,650,13.08,49.7t,1500,370
Cromwell,,,VI,Cromwell,,2077,135,3.90s,145,785,0.36,2.30s,0.14 / 0.24 / 0.24,-13° / +20°,64 / 20,36°/s,700,25.29,27.7t,950,360
SDP 58 Kilana,,,VIII,Kilana,,2692,700,15.60s,269,1420,0.38,2.90s,0.12 / 0.22 / 0.22,-7° / +15°,40 / 15,25°/s,650,14.54,44.7t,1450,350
Pz.Sfl. IVb,,,V,Pz.Sfl. IVc,,1920,240,7.50s,194,1000,0.32,2.10s,0.14 / 0.24 / 0.24,-5° / +90°,60 / 20,48°/s,400,15.53,25.8t,460,340
M3 Stuart,,,IV,M5 Stuart,,1546,50,7.70s,71,884,0.38,1.70s,0.10 / 0.15 / 0.15,-10° / +20°,64.4 / 20,50°/s,400,26.67,15t,520,360
FV601 Saladin,,,IV,Saladin,,2000,280,8.40s,221,1100,0.33,1.90s,0.06 / 0.10 / 0.10,-8° / +20°,65 / 30,30°/s,310,24.38,12.7t,1450,380
Type 95 Heavy,,,X,T57 Heavy,,3097,400,25.00s,258,1067,0.35,2.70s,0.18 / 0.22 / 0.22,-8° / +12°,35.4 / 14,30°/s,870,16.07,54.1t,2250,400
STG,,,VIII,STG,,1800,390,13.00s,212,880,0.33,2.50s,0.12 / 0.20 / 0.20,-6° / +17°,50 / 20,45°/s,450,16.23,27.7t,1350,370
A-20,,,V,A-20,,2053,65,1.90s,105,870,0.37,1.70s,0.08 / 0.12 / 0.12,-7° / +25°,72 / 23,46°/s,550,31.48,17.5t,620,360
VK 168.01 (P),,,VIII,VK 100.01 P,,1760,440,15.00s,220,810,0.40,2.70s,0.18 / 0.25 / 0.25,-8° / +30°,20 / 15,15°/s,1200,9.99,120.2t,1800,400
AMX 40,,,VIII,AMX 30,,2690,390,8.70s,248,1100,0.37,2.30s,0.12 / 0.14 / 0.14,-8° / +20°,65 / 23,36°/s,720,22.36,32.2t,1650,390
Object 252U,,,IX,Obj. 257,,2031,440,13.00s,248,1259,0.40,2.90s,0.10 / 0.18 / 0.18,-5° / +15°,50 / 15,40°/s,850,15.54,54.7t,2000,390
IS-3,,,IX,IS-3-II,,2229,390,10.50s,243,1007,0.40,3.00s,0.08 / 0.16 / 0.16,-8° / +20°,38 / 15,36°/s,780,14.14,55.2t,1900,380
Straussler V–4/40,,,III,V–4/40,,1000,45,2.70s,64,800,0.40,2.00s,0.10 / 0.20 / 0.20,-10° / +20°,40 / 20,46°/s,180,15.32,11.8t,445,350
M24 Chaffee No. 594,,,V,Chaffee,,1683,115,4.10s,118,890,0.39,1.60s,0.08 / 0.13 / 0.13,-10° / +15°,65 / 21,42°/s,500,27.56,18.1t,610,360
KV-85,,,VI,KV-85,,1170,390,20.00s,175,780,0.50,3.60s,0.20 / 0.22 / 0.22,-3° / +20°,34 / 14,30°/s,600,12.97,46.3t,970,340
Rhm.-Borsig Waffenträger,,,IX,Rambo,,2602,360,8.30s,258,1250,0.38,2.20s,0.10 / 0.22 / 0.22,-8° / +15°,34 / 12,27°/s,950,17.30,54.9t,1950,390
Rambo,,,IX,Rambo,,2602,360,8.30s,258,1250,0.38,2.20s,0.10 / 0.22 / 0.22,-8° / +15°,34 / 12,27°/s,950,17.30,54.9t,1950,390
O-I,,,IX,Tortoise,,3380,400,7.10s,259,1067,0.31,1.70s,0.06 / 0.26 / 0.26,-10° / +20°,20 / 10,22°/s,810,10.58,76.6t,1850,390
Tiger I,,,VII,Tiger I,,2154,280,7.80s,203,1000,0.34,2.50s,0.12 / 0.20 / 0.20,-7° / +13°,40 / 12,29°/s,760,13.26,57.3t,1550,380
Object 252U Defender,,,IX,Obj. 257,,2031,440,13.00s,248,1259,0.40,2.90s,0.10 / 0.18 / 0.18,-5° / +15°,50 / 15,40°/s,850,15.54,54.7t,2000,390
M41 Walker Bulldog,,,VIII,Bulldog,,2333,175,4.50s,190,1219,0.35,1.70s,0.06 / 0.12 / 0.12,-10° / +20°,68 / 24,65°/s,800,34.45,23.2t,1200,400
Convert. Medium Tank T3,,,III,M2 Medium,,2283,175,4.60s,38,620,0.55,2.30s,0.16 / 0.23 / 0.23,-20° / +40°,43 / 18,40°/s,400,19.31,20.7t,375,370
AMX 50 120,,,IX,AMX 30,,2690,390,8.70s,248,1100,0.37,2.30s,0.12 / 0.14 / 0.14,-8° / +20°,65 / 23,36°/s,720,22.36,32.2t,1650,390
Pz.Kpfw. 38 (t),No data
M-VI-Y (120),,,IX,M-VI-Y,,2353,400,10.20s,253,1000,0.37,2.30s,0.10 / 0.18 / 0.18,-10° / +20°,40 / 17,28°/s,780,16.89,46.2t,1900,390
SU-122A,,,IX,SU-122V,,2901,440,9.10s,270,940,0.40,2.00s,0.10 / 0.20 / 0.20,-3° / +20°,50 / 20,45°/s,820,19.20,42.7t,1600,350
T77,,,VIII,T77,,1473,360,40.00s,232,1143,0.37,2.70s,0.14 / 0.24 / 0.24,-8° / +15°,48 / 12,30°/s,800,16.42,48.7t,1450,370
Cruiser Mk. I,,,VII,IS,,1902,390,12.30s,175,780,0.46,3.40s,0.16 / 0.21 / 0.21,-6° / +25°,34 / 14,42°/s,750,16.32,46t,1350,350
Marder II,,,III,Marder II,,1375,110,4.80s,108,790,0.40,2.50s,0.18 / 0.30 / 0.30,-8° / +10°,40 / 12,38°/s,140,13.01,10.8t,295,310
KV-1 shielded,,,V,KV-1,,2368,450,11.40s,61,515,0.57,2.90s,0.16 / 0.25 / 0.25,-7° / +25°,34 / 10,24°/s,550,11.24,48.9t,840,310
SPHT,,,IX,SPHT,,2500,400,9.60s,260,1200,0.35,2.00s,0.08 / 0.16 / 0.16,-8° / +20°,45 / 16,30°/s,1090,19.93,54.7t,1700,390
FV230 Canopener,,,X,Canopener,,2520,420,10.00s,258,1050,0.33,2.00s,0.12 / 0.16 / 0.16,-10° / +20°,34 / 12,22°/s,1250,13.94,89.7t,2250,390
Type T-34,,,V,Type T-34,,2217,85,2.30s,112,990,0.34,2.00s,0.10 / 0.22 / 0.22,-5° / +25°,55 / 20,47°/s,540,18.88,28.6t,650,350
IS-2,,,VIII,IS-2-II,,2250,300,8.00s,221,980,0.38,2.30s,0.08 / 0.16 / 0.16,-7° / +20°,38 / 15,34°/s,750,14.81,50.7t,1650,350
BT-7,,,VIII,BT-7 art.,,2050,164,4.80s,38,381,0.60,2.40s,0.18 / 0.22 / 0.22,-5° / +25°,51.6 / 20,46°/s,500,37.59,13.3t,390,290
ARMT,,,V,ARMT,,863,115,19.00s,128,900,0.42,2.10s,0.15 / 0.23 / 0.23,-15° / +60°,45 / 18,40°/s,550,16.30,33.8t,600,370
AMX 13 90,,,X,AMX 13 105,,2163,390,27.00s,234,1000,0.42,2.30s,0.12 / 0.15 / 0.15,-8° / +12°,68 / 22,40°/s,600,38.22,15.7t,1600,390
AMX 13 F3 AM,,,IX,AMX 13 90,,1953,240,22.00s,205,1163,0.38,2.50s,0.12 / 0.12 / 0.12,-6° / +12°,68 / 23,40°/s,470,32.20,14.6t,1400,380
Object 261,,,X,Obj. 268,,2727,750,16.50s,303,950,0.33,2.50s,0.08 / 0.18 / 0.18,-6° / +15°,48 / 15,33°/s,950,18.75,50.7t,1950,370
Pz.Kpfw. II,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
M4A2E4 Sherman,,,V,M4 Sherman,,2733,410,9.00s,53,472,0.55,2.50s,0.16 / 0.18 / 0.18,-12° / +25°,48 / 18,50°/s,500,16.20,30.9t,650,370
FV215b,,,X,FV215b,,2759,400,8.70s,259,1067,0.33,1.70s,0.08 / 0.10 / 0.10,-7° / +15°,34.3 / 12,38°/s,950,13.63,69.7t,2500,410
Type 97 Chi-Ha,,,IV,Type 95,,2000,110,3.30s,71,453,0.40,2.30s,0.10 / 0.18 / 0.18,-12° / +20°,22 / 10,30°/s,290,10.01,29t,670,340
Mäuschen,,,IX,Mäuschen,,1960,490,15.00s,246,920,0.38,2.30s,0.10 / 0.20 / 0.20,-8° / +25°,20 / 15,15°/s,1850,10.91,169.6t,2400,400
T1 Heavy,,,X,T57 Heavy,,3097,400,25.00s,258,1067,0.35,2.70s,0.18 / 0.22 / 0.22,-8° / +12°,35.4 / 14,30°/s,870,16.07,54.1t,2250,400
FV224 Chopper,,,X,Chopper,,1792,230,7.70s,204,930,0.36,2.20s,0.12 / 0.20 / 0.20,-10° / +20°,34 / 12,22°/s,780,13.06,59.7t,1300,360
Black Prince II,,,VII,Black Prince,,2000,150,4.50s,171,884,0.34,2.00s,0.10 / 0.14 / 0.14,-8° / +20°,30 / 15,20°/s,650,13.08,49.7t,1500,370
Object 268 Version V,,,X,Obj. 268,,2727,750,16.50s,303,950,0.33,2.50s,0.08 / 0.18 / 0.18,-6° / +15°,48 / 15,33°/s,950,18.75,50.7t,1950,370
M12,,,X,M12,,1300,600,27.70s,39,490,0.67,5.50s,0.42 / 0.31 / 0.31,-3° / +45°,38.6 / 10,20°/s,500,18.39,27.2t,350,270
Pz.Kpfw. 35 R,No data
Pz.Kpfw. S35 739 (f),No data
AC 4 Experimental,,,VI,AC 4 Exp.,,1800,150,5.00s,171,884,0.39,2.10s,0.12 / 0.20 / 0.20,-10° / +20°,60.4 / 20,40°/s,330,11.70,28.2t,840,360
Type 68,,,IX,Type 61,,2634,360,8.20s,258,1185,0.38,2.10s,0.10 / 0.10 / 0.10,-10° / +13°,45 / 23,55°/s,770,22.19,34.7t,1800,400
Leichttraktor,No data
AAT60,,,VIII,AAT60,,2207,320,8.70s,230,1150,0.35,2.00s,0.10 / 0.12 / 0.12,-10° / +20°,44 / 22,40°/s,750,17.55,42.7t,1400,390
Centurion Action X,,,X,Centurion AX,,2925,390,8.00s,268,1478,0.32,2.10s,0.08 / 0.10 / 0.10,-10° / +20°,55 / 20,50°/s,1040,19.01,54.7t,1950,410
Schwarzpanzer 58,No data
VK 100.01 (P),,,X,E 100,,2250,750,20.00s,246,757,0.40,2.70s,0.10 / 0.21 / 0.21,-7° / +20°,30 / 15,22°/s,1200,9.26,129.6t,2700,400
T32,,,X,T32,,2133,320,9.00s,218,945,0.38,1.90s,0.10 / 0.16 / 0.16,-10° / +20°,35 / 14,29°/s,865,15.11,57.2t,1650,390
FV4025 Contriver,,,XI,Contriver,,2640,440,10.00s,265,1050,0.33,2.00s,0.11 / 0.15 / 0.15,-10° / +20°,34 / 12,20°/s,1330,13.34,99.7t,2400,390
Vz. 71 Tesák,,,X,Tesák,,3049,16,17.00s,192,800,0.40,2.00s,0.05 / 0.08 / 0.08,-12° / +30°,65 / 25,45°/s,650,38.92,16.7t,1650,390
Churchill III,,,V,Churchill I,,2045,75,2.20s,110,892,0.37,1.70s,0.08 / 0.18 / 0.18,-9° / +20°,25.7 / 14,28°/s,380,9.59,39.6t,920,350
M-III-Y,,,VIII,M-III-Y,,2157,320,8.90s,215,900,0.37,2.00s,0.13 / 0.20 / 0.20,-10° / +20°,40 / 17,33°/s,675,15.10,44.7t,1650,390
WZ-132-1,,,X,WZ-132-1,,2489,390,9.40s,246,1200,0.38,1.80s,0.06 / 0.12 / 0.12,-5° / +20°,70 / 23,60°/s,1080,36.36,29.7t,1700,400
Kpz. 3 GST Turm,,,VIII,GST Turm,,2330,400,10.30s,244,1150,0.36,2.20s,0.10 / 0.16 / 0.16,-8° / +20°,38 / 12,33°/s,770,15.12,50.9t,1300,360
Sherman VC Firefly,,,VI,Firefly,,1915,150,4.70s,171,884,0.38,2.10s,0.12 / 0.21 / 0.21,-6° / +20°,36 / 18,40°/s,460,13.93,33t,840,370
M41D,,,VIII,M41D,,2217,170,4.60s,192,1257,0.35,1.50s,0.04 / 0.10 / 0.10,-9° / +19°,68 / 24,54°/s,780,31.55,24.7t,1100,410
L-60,,,II,L-60,,1020,12,5.00s,27,805,0.48,2.00s,0.12 / 0.20 / 0.20,-10° / +30°,48 / 20,45°/s,160,22.54,7.1t,360,280
VK 30.02 (D),,,II,VK 30.02 D,,2063,220,6.40s,145,773,0.38,2.30s,0.14 / 0.20 / 0.20,-8° / +20°,60 / 20,60°/s,870,22.06,39.4t,1350,380
Chrysler MTC 2TC,,,VIII,Chrysler MTC,,2000,360,10.80s,220,1080,0.37,2.30s,0.10 / 0.13 / 0.13,-8° / +20°,45 / 20,40°/s,850,17.09,49.7t,1400,390
Universal Carrier 2-pdr,No data
ISU-122-2,,,VII,ISU-122S,,3162,390,7.40s,175,800,0.41,2.90s,0.08 / 0.20 / 0.20,-6° / +18°,43 / 12,27°/s,600,13.18,45.5t,870,350
M7,,,V,M7,,1375,110,4.80s,92,619,0.38,1.90s,0.12 / 0.18 / 0.18,-8° / +18°,60 / 20,48°/s,600,24.97,24t,540,360
Renault FT,,,I,FT,,939,8,5.80s,23,800,0.52,1.60s,0.10 / 0.33 / 0.33,-10° / +35°,21 / 8,60°/s,50,10.90,4.6t,250,300
45TP Habicha,,,VII,45TP,,1745,320,11.00s,192,785,0.40,2.30s,0.16 / 0.21 / 0.21,-8° / +20°,35 / 14,40°/s,750,16.94,44.3t,1350,350
Sherman Firefly Saunders,,,VI,Firefly VC,,2000,150,4.50s,171,884,0.36,2.10s,0.10 / 0.18 / 0.18,-6° / +20°,40.2 / 18,43°/s,425,12.90,33t,840,370
Mittlerer Kpz. Pr. 68 (P),No data
Ares 90,,,XI,Ares 90 C,,21114,115,7.00s,235,1000,0.36,1.90s,0.07 / 0.17 / 0.17,-9° / +45°,55 / 19,43°/s,930,20.81,44.7t,2050,390
WZ-120-1G FT FL,,,IX,WZ-120G FT,,2824,560,11.90s,271,930,0.38,2.80s,0.16 / 0.22 / 0.22,-6° / +15°,47 / 20,38°/s,520,14.44,36t,1700,390
SU-18,,,II,SU-18,,1350,180,8.00s,21,290,0.76,4.50s,0.28 / 0.24 / 0.24,-3° / +45°,22 / 6,22°/s,70,11.90,5.9t,140,260
FV4202 FL,,,VIII,FV4202,,1840,230,7.50s,226,1020,0.33,2.30s,0.16 / 0.14 / 0.14,-10° / +20°,50 / 20,40°/s,650,15.73,41.3t,1400,400
M14/41,,,II,M14/41,,857,50,3.50s,52,630,0.43,2.00s,0.14 / 0.31 / 0.31,-10° / +20°,32 / 12,38°/s,145,10.51,13.8t,380,300
Tiger II,,,VII,Tiger I,,2154,280,7.80s,203,1000,0.34,2.50s,0.12 / 0.20 / 0.20,-7° / +13°,40 / 12,29°/s,760,13.26,57.3t,1550,380
FV215b (183),,,X,FV215b,,2759,400,8.70s,259,1067,0.33,1.70s,0.08 / 0.10 / 0.10,-7° / +15°,34.3 / 12,38°/s,950,13.63,69.7t,2500,410
Škoda T 45,,,IX,Škoda T 50,,2251,320,22.00s,248,1400,0.35,2.20s,0.10 / 0.18 / 0.18,-8° / +20°,50 / 20,58°/s,1070,28.08,38.1t,1700,400
T56 GMC,,,III,T56 GMC,,1125,75,4.00s,110,823,0.40,2.00s,0.14 / 0.28 / 0.28,-5° / +25°,50 / 14,30°/s,400,28.72,13.9t,285,290
Triumphant,,,X,Triumphant,,2925,390,8.00s,268,1478,0.32,2.10s,0.08 / 0.10 / 0.10,-10° / +20°,55 / 20,50°/s,1040,19.01,54.7t,1950,410
TT-130M,,,IX,TT-130M,,2000,490,14.70s,244,980,0.40,2.70s,0.15 / 0.25 / 0.25,-5° / +20°,30 / 14,25°/s,600,10.97,54.7t,1850,380
M48A2 Räumpanzer,No data
SU-85I,,,V,SU-85I,,2133,160,4.50s,119,800,0.42,2.30s,0.08 / 0.22 / 0.22,-5° / +25°,50 / 14,48°/s,300,13.56,22.1t,500,330
Ares 75,,,IX,Ares 85,,15047,80,6.00s,210,1000,0.36,2.10s,0.10 / 0.18 / 0.18,-7° / +45°,50 / 18,45°/s,900,19.69,45.7t,1800,390
StuG III Ausf. G,,,IV,StuG III B,,2333,350,9.00s,92,376,0.55,2.00s,0.08 / 0.20 / 0.20,-6° / +20°,40 / 14,40°/s,480,20.79,23.1t,400,310
SU-5,,,IV,SU-5,,1235,350,17.00s,35,285,0.88,6.50s,0.46 / 0.24 / 0.24,-1° / +72°,30 / 8,26°/s,130,12.81,10.1t,245,250
ST-I,,,X,Stinger,,3097,400,25.00s,258,1067,0.35,2.70s,0.18 / 0.22 / 0.22,-8° / +12°,35.4 / 14,30°/s,870,16.07,54.1t,2250,400
Object 268 Version 4,,,X,Obj. 268,,2727,750,16.50s,303,950,0.33,2.50s,0.08 / 0.18 / 0.18,-6° / +15°,48 / 15,33°/s,950,18.75,50.7t,1950,370
Pz.Kpfw. II Luchs,,,X,Pz.Kpfw. VII,,2100,560,16.00s,276,1100,0.33,2.30s,0.08 / 0.20 / 0.20,-7° / +17°,33 / 15,24°/s,1350,11.28,119.7t,2500,400
